level,covariate,target,spearman,p_perm,n,p_fdr
assay,log_Neff_L,EU,-0.4271133077528525,0.0004997501249375312,216,0.0009995002498750624
assay,log_Neff_L,AU,-0.39013753017977876,0.0004997501249375312,216,0.0009995002498750624
assay,log_Neff_L,rho_ens,0.2532200417093081,0.0004997501249375312,216,0.0009995002498750624
assay,log_MSA_num_seqs,EU,-0.4521553833937729,0.0004997501249375312,216,0.0009995002498750624
assay,log_MSA_num_seqs,AU,-0.3928964813671042,0.0004997501249375312,216,0.0009995002498750624
assay,log_MSA_num_seqs,rho_ens,0.27321111100772244,0.0004997501249375312,216,0.0009995002498750624
assay,MSA_perc_cov,EU,0.24366417972117152,0.0009995002498750624,216,0.0016355458634319203
assay,MSA_perc_cov,AU,0.20395655195532275,0.0034982508745627187,216,0.004843731980163765
assay,MSA_perc_cov,rho_ens,-0.11817930739696271,0.08845577211394302,216,0.10614692653673163
assay,log_seq_len,EU,0.22822982713181955,0.0014992503748125937,216,0.0022488755622188904
assay,log_seq_len,AU,0.35483906560755146,0.0004997501249375312,216,0.0009995002498750624
assay,log_seq_len,rho_ens,-0.21490667548379344,0.0009995002498750624,216,0.0016355458634319203
assay,log_n,EU,-0.021381656798910468,0.7651174412793603,216,0.7651174412793603
assay,log_n,AU,-0.038564621134412704,0.5717141429285357,216,0.6053443866302143
assay,log_n,rho_ens,-0.07367538308274611,0.2848575712143928,216,0.3204647676161919
assay,frac_multi,EU,-0.20804784385952227,0.0004997501249375312,216,0.0009995002498750624
assay,frac_multi,AU,-0.3421292925141378,0.0004997501249375312,216,0.0009995002498750624
assay,frac_multi,rho_ens,0.16718595399640657,0.013493253373313344,216,0.01734846862283144
