,fam_MSA_Potts,fam_Evo_Conservation,fam_MSA_Conditioned,fam_ESM_Masked,fam_AR_PLM,fam_xTrimoPGLM,fam_Inverse_Folding,fam_Struct_PLM,fam_Struct_MSA_Hybrid,fam_CNN_RNN
fam_MSA_Potts,1.0,0.8391541204277598,0.8863197461423944,0.7289882477163916,0.6943318858353527,0.7165707699815814,0.5434584024736009,0.6952306801529738,0.8411283153959102,0.7435972125484969
fam_Evo_Conservation,0.8391541204277598,1.0,0.8928992333356625,0.7670911129690897,0.7810458931584747,0.7731992088870596,0.6085767176036295,0.7595326323251002,0.8717814172852796,0.8058079705055806
fam_MSA_Conditioned,0.8863197461423944,0.8928992333356625,1.0,0.8314701317825447,0.8318694420113857,0.8264994928099594,0.6160220648642112,0.794065864209577,0.8815900684656894,0.8561334128672159
fam_ESM_Masked,0.7289882477163916,0.7670911129690897,0.8314701317825447,1.0,0.754585340789965,0.8259263203206069,0.5975863074056895,0.8286911029081911,0.8002898981850645,0.803783962852142
fam_AR_PLM,0.6943318858353527,0.7810458931584747,0.8318694420113857,0.754585340789965,1.0,0.8084130829100026,0.5646302615887802,0.7132899551565535,0.7356456771810661,0.8011217075134252
fam_xTrimoPGLM,0.7165707699815814,0.7731992088870596,0.8264994928099594,0.8259263203206069,0.8084130829100026,1.0,0.552682756542733,0.7238265239706765,0.7490687575828684,0.7865746948389415
fam_Inverse_Folding,0.5434584024736009,0.6085767176036295,0.6160220648642112,0.5975863074056895,0.5646302615887802,0.552682756542733,1.0,0.7038702079237318,0.698230213389709,0.6062888303481354
fam_Struct_PLM,0.6952306801529738,0.7595326323251002,0.794065864209577,0.8286911029081911,0.7132899551565535,0.7238265239706765,0.7038702079237318,1.0,0.8824032023221253,0.7474432377719772
fam_Struct_MSA_Hybrid,0.8411283153959102,0.8717814172852796,0.8815900684656894,0.8002898981850645,0.7356456771810661,0.7490687575828684,0.698230213389709,0.8824032023221253,1.0,0.7789366922264119
fam_CNN_RNN,0.7435972125484969,0.8058079705055806,0.8561334128672159,0.803783962852142,0.8011217075134252,0.7865746948389415,0.6062888303481354,0.7474432377719772,0.7789366922264119,1.0
