level,feature,target,spearman_pooled,mean_per_assay_rho,n_assays,t,p_cluster,p_fdr
mutant,blosum,z_EU,-0.1025446620175675,-0.1499354796947182,216,-16.234760789880013,3.2089888514308774e-39,1.7114607207631346e-38
mutant,blosum,z_AU,-0.14032911051806823,-0.18124898107907422,216,-20.208808017218107,1.3366535568854147e-51,2.1386456910166635e-50
mutant,d_hydro,z_EU,0.026338897889298916,0.008880556036234881,216,1.2681247819203039,0.20612488333361867,0.27483317777815824
mutant,d_hydro,z_AU,0.04819081712301515,0.021243377361425408,216,2.588347112442475,0.01030154707390618,0.02060309414781236
mutant,d_vol,z_EU,-0.005359947090207969,0.014932819986756194,216,2.1566341015376977,0.032143875969182216,0.05143020155069154
mutant,d_vol,z_AU,-0.00393680830408826,0.01050986522929996,216,1.5636920368719225,0.11936059281144508,0.1736154077257383
mutant,d_charge,z_EU,-0.004658519631691327,-0.004429579378201481,216,-0.7914648746718516,0.4295450500429466,0.4581813867124763
mutant,d_charge,z_AU,-0.00706599502304631,0.0003015862705046293,216,0.0541344533942079,0.9568783110740873,0.9568783110740873
mutant,rel_pos,z_EU,-0.01854378257521783,-0.010422501409757994,216,-1.159994014867746,0.24733776210914357,0.3044157072112536
mutant,rel_pos,z_AU,-0.0375434723635463,-0.03192202650660151,216,-3.2289847491398187,0.0014368714197811956,0.003284277530928447
mutant,is_proline,z_EU,0.04522218139236557,,0,,,
mutant,is_proline,z_AU,0.05301188356189341,,0,,,
mutant,is_glycine_wt,z_EU,0.012450307654658762,,0,,,
mutant,is_glycine_wt,z_AU,0.011404167908516076,,0,,,
mutant,abs_d_hydro,z_EU,0.051767779561805095,0.07368997071034046,216,12.680769301650804,7.013861281207624e-28,2.2444356099864395e-27
mutant,abs_d_hydro,z_AU,0.08148449006636287,0.09901673913442134,216,16.62944015478494,1.7918195031203419e-40,1.4334556024962735e-39
mutant,abs_d_vol,z_EU,0.03936737248023406,0.06877890185515098,216,10.060163414771,9.303794593944709e-20,2.481011891718589e-19
mutant,abs_d_vol,z_AU,0.07244318019783338,0.09569552819034317,216,15.4544828833596,9.835790737680277e-37,3.934316295072111e-36
mutant,abs_d_charge,z_EU,0.00979108181203935,-0.005706623410159479,215,-0.948317290612741,0.3440376059706857,0.3931858353950694
mutant,abs_d_charge,z_AU,0.02441267198004757,0.016918173100973575,215,2.536880471325509,0.011897196741290176,0.021150571984515868
