a,b,mean_diff,cohens_d,p_wilcoxon
EU,TU,-0.00154458047919615,-0.07883160920591017,0.4205252860880362
EU,raw_sd,-0.0013004173798643423,-0.06698636936761977,0.5885997857584033
EU,conf_mag,0.01861304954942145,0.2850350761393844,0.00043825579801996307
EU,EU+conf_mag,0.009506796039100176,0.24394871364912965,0.0063605690815859125
AU,EU,-0.0005093961496640023,-0.012295919771532769,0.9696537333068641
AU,TU,-0.0020539766288601526,-0.07538108150679887,0.5121167215925649
AU,raw_sd,-0.001809813529528345,-0.06283525343038611,0.6699714764207841
AU,conf_mag,0.01810365339975745,0.3286618192949508,2.9186614263035857e-05
AU,EU+conf_mag,0.008997399889436172,0.20613407165616685,0.019432031439414747
TU,raw_sd,0.0002441630993318076,0.02349290415504707,0.4398599334809421
TU,conf_mag,0.0201576300286176,0.34293938649824673,1.0757396886394723e-05
conf_mag,raw_sd,-0.019913466929285795,-0.30559940650351386,0.0001866418178572071
EU+conf_mag,TU,-0.011051376518296328,-0.32512300187796034,7.984992713926075e-05
EU+conf_mag,raw_sd,-0.010807213418964519,-0.2607996499376805,0.004358360446393079
EU+conf_mag,conf_mag,0.009106253510321276,0.2952959401160756,7.281238658743092e-05
