method,conflict_measure,spearman_gain_vs_conflict,p,n,gain_hi_EU,gain_lo_EU,p_hi_vs_lo
conflict_cot|Qwen3-14B|s0,EU,0.1955000654925636,0.003920778867619179,216,0.004292494287596134,5.7433816696277985e-05,0.01666372300947647
conflict_cot|Qwen3-14B|s0,AU,0.14355731790090379,0.03498391830481334,216,0.004292494287596134,5.7433816696277985e-05,0.01666372300947647
conflict_cot|Qwen3-14B|s1,EU,0.22529680039057381,0.0008531773980072181,216,0.004310875454775487,0.00021454789000269794,0.008613482005097683
conflict_cot|Qwen3-14B|s1,AU,0.17422450850807938,0.010306899591689796,216,0.004310875454775487,0.00021454789000269794,0.008613482005097683
conflict_cot|Qwen3-14B|s2,EU,0.06504340748779165,0.5289487013210918,96,0.0008659854707656715,0.0015527641572992803,0.7834805651281953
conflict_cot|Qwen3-14B|s2,AU,0.11077048290830169,0.28263543523109613,96,0.0008659854707656715,0.0015527641572992803,0.7834805651281953
conflict_cot|Qwen3-8B|s0,EU,0.29782802843568035,8.458524349102469e-06,216,0.006467837407630865,0.0008043682291638885,0.0008020165253201358
conflict_cot|Qwen3-8B|s0,AU,0.2372783672108503,0.00043580151865970376,216,0.006467837407630865,0.0008043682291638885,0.0008020165253201358
conflict_direct|Qwen3-14B|s0,EU,0.37899713023493964,8.722165638194352e-09,216,0.005054371162184519,-9.196956981155326e-05,4.5587150135045816e-05
conflict_direct|Qwen3-14B|s0,AU,0.312488836494838,2.8159452566252647e-06,216,0.005054371162184519,-9.196956981155326e-05,4.5587150135045816e-05
cot_only|Qwen3-14B|s0,EU,-0.2584931947272532,0.00012177454383610162,216,-0.009771136586443949,0.0016440040061392546,0.003981756757611461
cot_only|Qwen3-14B|s0,AU,-0.27714666761928575,3.615346149606114e-05,216,-0.009771136586443949,0.0016440040061392546,0.003981756757611461
cot_only|Qwen3-8B|s0,EU,-0.17361245073173054,0.010581999183907505,216,-0.010497172110568385,-0.0009224520643127164,0.012092054402507778
cot_only|Qwen3-8B|s0,AU,-0.0900022624703795,0.1875845511892886,216,-0.010497172110568385,-0.0009224520643127164,0.012092054402507778
direct_only|Qwen3-14B|s0,EU,-0.20492623155788947,0.002474050756923681,216,-0.006735316136369727,-0.0010417829899777508,0.0029468223481886597
direct_only|Qwen3-14B|s0,AU,-0.13849295657247643,0.04200998405937454,216,-0.006735316136369727,-0.0010417829899777508,0.0029468223481886597
direct_only|Qwen3-8B|s0,EU,-0.05798354350492384,0.39646610768736756,216,0.002837688647583935,0.0035289856854500094,0.6482720358769487
direct_only|Qwen3-8B|s0,AU,-0.1653734862287,0.014967768731890516,216,0.002837688647583935,0.0035289856854500094,0.6482720358769487
learned_meta,EU,0.33012181616832775,6.924073960685996e-07,216,0.04653699955513059,0.02073539197576946,5.485452436624906e-06
learned_meta,AU,0.21671012991343072,0.001352204338305059,216,0.04653699955513059,0.02073539197576946,5.485452436624906e-06
learned_meta_conflictonly,EU,0.3320806392074209,5.892209130628126e-07,216,0.04225117487985518,0.019549706369729417,1.6314295314071188e-05
learned_meta_conflictonly,AU,0.2345705473987544,0.000508779193745443,216,0.04225117487985518,0.019549706369729417,1.6314295314071188e-05
learned_meta_noconflict,EU,0.26932209242786886,6.082667597648859e-05,216,0.0434433881944633,0.02123822707978012,0.00023642844293135547
learned_meta_noconflict,AU,0.12317841365103178,0.07080476178703071,216,0.0434433881944633,0.02123822707978012,0.00023642844293135547
oracle,EU,0.34844901701615877,1.4633792341465612e-07,216,0.06975789621085866,0.04076034794360606,1.4537975230179166e-06
oracle,AU,0.2773371914407173,3.569129360630052e-05,216,0.06975789621085866,0.04076034794360606,1.4537975230179166e-06
random_weights,EU,-0.23498731825813593,0.0004968553968937364,216,-0.0038226274511191055,-0.0021959701056491667,0.018206882787248833
random_weights,AU,-0.2462544207480441,0.0002575571313698242,216,-0.0038226274511191055,-0.0021959701056491667,0.018206882787248833
