method,rho,rho_delta,rho_d,rho_p,rho_p_holm
oracle,0.5882184727537423,0.05525912207723235,1.2076190085923622,3.427297285516997e-37,5.1409459282754956e-36
learned_meta,0.56659554644196,0.03363619576545003,0.8406874310863348,5.815382809405867e-26,8.141535933168214e-25
learned_meta_noconflict,0.5653001583136317,0.03234080763712171,0.7566778034591971,4.4412816188075903e-23,5.329537942569108e-22
learned_meta_conflictonly,0.5638597913013023,0.030900440624792296,0.8225730123473318,2.0831215826868566e-25,2.7080580574929136e-24
conflict_cot|Qwen3-8B|s0,0.5365954534949073,0.0036361028183973768,0.22252097081359395,0.0009324115217892316,0.006526880652524621
direct_only|Qwen3-8B|s0,0.5361426878430269,0.003183337166516972,0.46603329368502117,6.736757556450023e-15,6.736757556450024e-14
conflict_direct|Qwen3-14B|s0,0.5354405514726964,0.002481200796186483,0.21923425605835783,0.007422369155919697,0.04453421493551818
conflict_cot|Qwen3-14B|s1,0.535222062348899,0.0022627116723890925,0.14772117749297164,0.043902073040729184,0.21951036520364592
conflict_cot|Qwen3-14B|s0,0.5351343147286561,0.0021749640521462063,0.14286454733272638,0.11335053373208119,0.45340213492832476
best_single,0.5344580347463308,0.0014986840698209217,0.01471897508025166,0.8593100064364569,0.8593100064364569
random_weights,0.5299500518981257,-0.003009298778384136,-0.6657972113697547,5.708537970108776e-20,6.279391767119654e-19
direct_only|Qwen3-14B|s0,0.5290708011133362,-0.0038885495631737384,-0.3155350964866903,5.858777049307386e-08,5.272899344376647e-07
cot_only|Qwen3-14B|s0,0.5288957843863575,-0.004063566290152348,-0.15770290133946963,0.556327903003244,1.0
cot_only|Qwen3-8B|s0,0.5272495385890694,-0.00570981208744055,-0.26307506913143214,0.0001339470651576319,0.0010715765212610552
conflict_cot|Qwen3-14B|s2,0.519494011720875,0.0012093748140324758,0.08213572053817736,0.19833231048613498,0.5949969314584049
