model,condition,seed,DMS_id,MSA_Potts,Evo_Conservation,MSA_Conditioned,ESM_Masked,AR_PLM,xTrimoPGLM,Inverse_Folding,Struct_PLM,Struct_MSA_Hybrid,CNN_RNN
Qwen/Qwen3-14B,conflict_cot,0,A0A140D2T1_ZIKV_Sourisseau_2019,3.0,5.0,9.0,4.0,6.0,8.0,2.0,5.0,7.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,A0A192B1T2_9HIV1_Haddox_2018,6.0,6.0,9.0,7.0,6.0,6.0,2.0,2.0,5.0,7.0
Qwen/Qwen3-14B,conflict_cot,0,A0A1I9GEU1_NEIME_Kennouche_2019,8.0,7.0,9.0,9.0,7.0,5.0,4.0,7.0,7.0,6.0
Qwen/Qwen3-14B,conflict_cot,0,A0A247D711_LISMN_Stadelmann_2021,2.0,2.0,5.0,9.0,9.0,7.0,4.0,8.0,6.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,A0A2Z5U3Z0_9INFA_Doud_2016,6.0,5.0,9.0,6.0,4.0,8.0,2.0,5.0,7.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,A0A2Z5U3Z0_9INFA_Wu_2014,7.0,8.0,8.0,6.0,5.0,6.0,2.0,3.0,8.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,A4D664_9INFA_Soh_2019,2.0,5.0,5.0,3.0,4.0,7.0,4.0,6.0,8.0,7.0
Qwen/Qwen3-14B,conflict_cot,0,A4GRB6_PSEAI_Chen_2020,8.0,7.0,10.0,9.0,5.0,7.0,2.0,8.0,9.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,A4_HUMAN_Seuma_2022,3.0,4.0,9.0,9.0,6.0,5.0,2.0,5.0,4.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,AACC1_PSEAI_Dandage_2018,9.0,7.0,10.0,8.0,7.0,7.0,2.0,8.0,9.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,ACE2_HUMAN_Chan_2020,7.0,7.0,9.0,6.0,6.0,7.0,3.0,5.0,7.0,8.0
Qwen/Qwen3-14B,conflict_cot,0,ADRB2_HUMAN_Jones_2020,9.0,7.0,10.0,9.0,6.0,7.0,3.0,5.0,8.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,AICDA_HUMAN_Gajula_2014_3cycles,8.0,7.0,9.0,8.0,7.0,6.0,3.0,4.0,7.0,7.0
Qwen/Qwen3-14B,conflict_cot,0,AMFR_HUMAN_Tsuboyama_2023_4G3O,7.0,6.0,9.0,7.0,3.0,6.0,5.0,9.0,8.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,AMIE_PSEAE_Wrenbeck_2017,9.0,8.0,9.0,6.0,5.0,7.0,4.0,7.0,8.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,ANCSZ_Hobbs_2022,7.0,8.0,10.0,7.0,6.0,7.0,3.0,6.0,8.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,ARGR_ECOLI_Tsuboyama_2023_1AOY,8.0,9.0,10.0,7.0,5.0,4.0,2.0,7.0,8.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,B2L11_HUMAN_Dutta_2010_binding-Mcl-1,2.0,3.0,3.0,9.0,9.0,7.0,4.0,5.0,3.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,BBC1_YEAST_Tsuboyama_2023_1TG0,7.0,7.0,10.0,8.0,6.0,4.0,2.0,9.0,10.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,BCHB_CHLTE_Tsuboyama_2023_2KRU,7.0,6.0,9.0,8.0,6.0,6.0,3.0,9.0,9.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,BLAT_ECOLX_Deng_2012,9.0,8.0,10.0,6.0,2.0,5.0,3.0,8.0,9.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,BLAT_ECOLX_Firnberg_2014,9.0,8.0,9.0,6.0,3.0,5.0,4.0,10.0,9.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,BLAT_ECOLX_Jacquier_2013,9.0,6.0,9.0,7.0,5.0,7.0,5.0,10.0,10.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,BLAT_ECOLX_Stiffler_2015,9.0,8.0,9.0,7.0,3.0,6.0,4.0,8.0,9.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,BRCA1_HUMAN_Findlay_2018,3.0,5.0,4.0,9.0,4.0,6.0,2.0,8.0,7.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,BRCA2_HUMAN_Erwood_2022_HEK293T,5.0,5.0,6.0,9.0,9.0,9.0,2.0,4.0,8.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,C6KNH7_9INFA_Lee_2018,4.0,9.0,5.0,7.0,6.0,7.0,3.0,6.0,8.0,8.0
Qwen/Qwen3-14B,conflict_cot,0,CALM1_HUMAN_Weile_2017,9.0,7.0,10.0,8.0,6.0,3.0,2.0,9.0,7.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,CAPSD_AAV2S_Sinai_2021,9.0,9.0,8.0,6.0,5.0,5.0,2.0,8.0,8.0,7.0
Qwen/Qwen3-14B,conflict_cot,0,CAR11_HUMAN_Meitlis_2020_gof,3.0,6.0,9.0,8.0,5.0,9.0,2.0,5.0,6.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,CAR11_HUMAN_Meitlis_2020_lof,3.0,4.0,9.0,8.0,7.0,8.0,2.0,5.0,6.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,CAS9_STRP1_Spencer_2017_positive,7.0,6.0,8.0,5.0,4.0,5.0,9.0,7.0,9.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,CASP3_HUMAN_Roychowdhury_2020,9.0,8.0,10.0,7.0,5.0,6.0,3.0,6.0,7.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,CASP7_HUMAN_Roychowdhury_2020,8.0,7.0,10.0,9.0,5.0,6.0,3.0,7.0,7.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,CATR_CHLRE_Tsuboyama_2023_2AMI,9.0,8.0,9.0,8.0,7.0,7.0,6.0,9.0,8.0,3.0
Qwen/Qwen3-14B,conflict_cot,0,CBPA2_HUMAN_Tsuboyama_2023_1O6X,9.0,8.0,10.0,9.0,5.0,7.0,4.0,8.0,10.0,6.0
Qwen/Qwen3-14B,conflict_cot,0,CBS_HUMAN_Sun_2020,8.0,7.0,10.0,9.0,5.0,7.0,3.0,6.0,7.0,4.0
Qwen/Qwen3-14B,conflict_cot,0,CBX4_HUMAN_Tsuboyama_2023_2K28,9.0,8.0,10.0,8.0,5.0,7.0,3.0,9.0,8.0,2.0
Qwen/Qwen3-14B,conflict_cot,0,CCDB_ECOLI_Adkar_2012,7.0,6.0,9.0,8.0,3.0,6.0,4.0,7.0,9.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,CCDB_ECOLI_Tripathi_2016,8.0,7.0,9.0,8.0,4.0,6.0,5.0,7.0,9.0,5.0
Qwen/Qwen3-14B,conflict_cot,0,CCR5_HUMAN_Gill_2023,9.0,8.0,10.0,7.0,6.0,7.0,3.0,8.0,9.0,4.0
