method,DMS_id,n,rho,ndcg_max@10,recall_top1pct@10,ndcg_max@20,recall_top1pct@20,ndcg_max@30,recall_top1pct@30,ndcg_max@40,recall_top1pct@40,n_parsed
uniform,A0A140D2T1_ZIKV_Sourisseau_2019,9576.0,0.4144005320176933,0.12874209429161604,0.0,0.2801443634666098,0.05,0.2801443634666098,0.03333333333333333,0.2801443634666098,0.025,
uniform,A0A192B1T2_9HIV1_Haddox_2018,12577.0,0.5657889702210539,0.8148884995984078,0.0,0.8148884995984078,0.0,0.8810512987233139,0.03333333333333333,0.8810512987233139,0.05,
uniform,A0A1I9GEU1_NEIME_Kennouche_2019,922.0,0.0682869824756908,0.750620347394541,0.0,0.7919768403639371,0.0,0.7919768403639371,0.0,0.7919768403639371,0.0,
uniform,A0A247D711_LISMN_Stadelmann_2021,1653.0,0.3966238934585687,0.9550005519306343,0.0,0.9592820764680993,0.0,0.9592820764680993,0.0,0.9592820764680993,0.0,
uniform,A0A2Z5U3Z0_9INFA_Doud_2016,10715.0,0.6272624520721911,0.7456445258683555,0.0,0.7474574655904949,0.0,0.8557244828084563,0.03333333333333333,1.0,0.075,
uniform,A0A2Z5U3Z0_9INFA_Wu_2014,2350.0,0.5674245210128508,0.11328651107424234,0.0,0.26612119450757293,0.05,0.26612119450757293,0.043478260869565216,0.26612119450757293,0.043478260869565216,
uniform,A4D664_9INFA_Soh_2019,14421.0,0.44860624517590747,0.22208795536171652,0.1,0.22208795536171652,0.15,0.22208795536171652,0.1,0.22208795536171652,0.075,
uniform,A4GRB6_PSEAI_Chen_2020,5004.0,0.7706052031166724,0.7701086397988951,0.0,0.8017316517298069,0.0,0.8017316517298069,0.0,0.8017316517298069,0.0,
uniform,A4_HUMAN_Seuma_2022,14811.0,0.4547637673477653,0.7366038262000604,0.0,0.7366038262000604,0.0,0.7366038262000604,0.0,0.798092659435559,0.0,
uniform,AACC1_PSEAI_Dandage_2018,1801.0,0.5085986833975102,0.8698720515208028,0.0,0.8820750844355337,0.0,0.9145452158701679,0.0,0.9296916213534969,0.05555555555555555,
uniform,ACE2_HUMAN_Chan_2020,2223.0,0.2717947934591676,0.7871758445919295,0.0,0.974069589695955,0.05,0.974069589695955,0.045454545454545456,0.974069589695955,0.045454545454545456,
uniform,ADRB2_HUMAN_Jones_2020,7800.0,0.5641823724397262,0.5930010299535439,0.0,0.5930010299535439,0.0,0.5930010299535439,0.0,0.5930010299535439,0.0,
uniform,AICDA_HUMAN_Gajula_2014_3cycles,209.0,0.4818023680329978,0.17183997321862146,0.0,1.0,0.5,1.0,0.5,1.0,0.5,
uniform,AMFR_HUMAN_Tsuboyama_2023_4G3O,2972.0,0.2819373154330207,0.9662825978690295,0.1,0.9662825978690295,0.1,0.9662825978690295,0.06896551724137931,0.9662825978690295,0.06896551724137931,
uniform,AMIE_PSEAE_Wrenbeck_2017,6227.0,0.6754519347533324,0.789470313200538,0.0,0.789470313200538,0.0,0.8149298661371933,0.0,0.8149298661371933,0.0,
uniform,ANCSZ_Hobbs_2022,4670.0,0.589821560995448,0.5579601023285472,0.2,0.6793768382606049,0.2,0.6793768382606049,0.13333333333333333,0.6793768382606049,0.125,
uniform,ARGR_ECOLI_Tsuboyama_2023_1AOY,1287.0,0.5840651585778077,0.8002719695570594,0.0,0.908322565828109,0.08333333333333333,0.908322565828109,0.08333333333333333,0.908322565828109,0.08333333333333333,
uniform,B2L11_HUMAN_Dutta_2010_binding-Mcl-1,170.0,0.6369537990505356,0.8200176626742456,0.0,0.8200176626742456,0.0,0.8200176626742456,0.0,0.8200176626742456,0.0,
uniform,BBC1_YEAST_Tsuboyama_2023_1TG0,2069.0,0.48633695389136694,0.8964315721128383,0.1,0.8964315721128383,0.05,0.8964315721128383,0.05,0.8964315721128383,0.05,
uniform,BCHB_CHLTE_Tsuboyama_2023_2KRU,1572.0,0.5852481995117758,0.980903249922182,0.1,0.980903249922182,0.13333333333333333,0.9856394511033956,0.2,0.9856394511033956,0.2,
uniform,BLAT_ECOLX_Deng_2012,4996.0,0.5783961480634191,0.8470521833817026,0.1,0.8470521833817026,0.2,0.8470521833817026,0.2,0.8470521833817026,0.15,
uniform,BLAT_ECOLX_Firnberg_2014,4783.0,0.8198453682676141,0.4504066721808658,0.0,0.4515439757375241,0.0,0.4515439757375241,0.0,0.5028260270195754,0.025,
uniform,BLAT_ECOLX_Jacquier_2013,989.0,0.7695503324713941,0.8945469377379811,0.0,0.8945469377379811,0.0,0.9209102033430308,0.0,0.9209102033430308,0.0,
uniform,BLAT_ECOLX_Stiffler_2015,4996.0,0.8173943621814729,0.9429672194745905,0.1,0.9429672194745905,0.05,0.9429672194745905,0.03333333333333333,0.9429672194745905,0.025,
uniform,BRCA1_HUMAN_Findlay_2018,1837.0,0.5813216376494745,0.7934127174428786,0.0,0.936078412446666,0.1111111111111111,0.936078412446666,0.1111111111111111,0.936078412446666,0.2222222222222222,
uniform,BRCA2_HUMAN_Erwood_2022_HEK293T,265.0,0.5081209159651912,0.8987499381044013,0.0,0.8987499381044013,0.0,0.9229804018894788,0.5,0.9229804018894788,0.5,
