method,n_assays,rho,rho_delta,rho_d,rho_p,rho_ci_lo,rho_ci_hi,ndcg_max@10,ndcg_max@10_delta,ndcg_max@10_d,ndcg_max@10_p,ndcg_max@10_ci_lo,ndcg_max@10_ci_hi,ndcg_max@20,ndcg_max@20_delta,ndcg_max@20_d,ndcg_max@20_p,ndcg_max@20_ci_lo,ndcg_max@20_ci_hi,ndcg_max@30,ndcg_max@30_delta,ndcg_max@30_d,ndcg_max@30_p,ndcg_max@30_ci_lo,ndcg_max@30_ci_hi,ndcg_max@40,ndcg_max@40_delta,ndcg_max@40_d,ndcg_max@40_p,ndcg_max@40_ci_lo,ndcg_max@40_ci_hi,recall_top1pct@10,recall_top1pct@10_delta,recall_top1pct@10_d,recall_top1pct@10_p,recall_top1pct@10_ci_lo,recall_top1pct@10_ci_hi,recall_top1pct@20,recall_top1pct@20_delta,recall_top1pct@20_d,recall_top1pct@20_p,recall_top1pct@20_ci_lo,recall_top1pct@20_ci_hi,recall_top1pct@30,recall_top1pct@30_delta,recall_top1pct@30_d,recall_top1pct@30_p,recall_top1pct@30_ci_lo,recall_top1pct@30_ci_hi,recall_top1pct@40,recall_top1pct@40_delta,recall_top1pct@40_d,recall_top1pct@40_p,recall_top1pct@40_ci_lo,recall_top1pct@40_ci_hi,rho_pg_official
oracle,216,0.5882184727537423,0.05525912207723235,1.2076190085923622,3.427297285516997e-37,0.5683483164929024,0.6088899155374624,0.7848788101750722,0.011232006651363705,0.16630204924833272,0.023377498723806428,0.7573676766151625,0.8101756709951292,0.8157252318455782,0.008642681157685137,0.12358339948566113,0.19334006535885429,0.7907961047933084,0.8377397378651785,0.8263108574184778,0.004842888470798211,0.09147777275843656,0.12867314744109595,0.8022484457348625,0.8493705934566473,0.8379929117953134,0.007943916768695249,0.13843376725869713,0.18006100733233177,0.815012366534661,0.8604988025667708,0.06756687242798354,0.018898809523809526,0.17691059471297746,0.006676016125509809,0.05138888888888889,0.0858037551440329,0.0719139002743234,0.0010050130277168448,0.016127647755366757,0.496793387380956,0.056531609266763636,0.08957008330363592,0.08212767306342311,0.002176098013161099,0.0332888192841439,0.5625601645899501,0.0646691625834866,0.1006954396655488,0.09415770011608099,0.006079707171815961,0.07649897556281991,0.14413160402822986,0.07595916056263312,0.11519292384092697,0.5886766285914192
learned_meta,216,0.56659554644196,0.03363619576545003,0.8406874310863348,5.815382809405867e-26,0.5465665348734193,0.5869943543988094,0.7892263447193417,0.015579541195633269,0.2217655801015754,0.0014487839758829532,0.7640729046317549,0.813382296301922,0.8143555355921043,0.00727298490421114,0.12671728355868042,0.23122654213064675,0.7892674327839289,0.8374357117771948,0.8258844133066823,0.004416444359002573,0.08795293239923752,0.1189008629445697,0.8014829701606697,0.8495250606413066,0.8387850013617777,0.008736006335159542,0.16298313341414591,0.037194304323534086,0.8154936577807467,0.8603996531183116,0.06837705761316872,0.019708994708994707,0.18667863193484815,0.007151745573731357,0.05154224537037037,0.08607349537037037,0.07069560150700502,-0.00021328573960152847,-0.0034904737606006805,0.7154347139596166,0.05523672224055996,0.08806765119356492,0.08692510180362004,0.006973526753358038,0.07574673040360198,0.31487267895736837,0.06717084530536269,0.10806588921716705,0.09849469224173954,0.01041669929747452,0.11902645883432524,0.13016900943641393,0.07737816952124005,0.12098218696223341,0.566890176951016
learned_meta_noconflict,216,0.5653001583136317,0.03234080763712171,0.7566778034591971,4.4412816188075903e-23,0.545563624260553,0.5846145631416143,0.7906079392775399,0.016961135753831392,0.25327355866024026,0.0004635440345660288,0.7648740084369133,0.814632560543258,0.8144546881239068,0.007372137436013726,0.08601749089373902,0.2413093480067403,0.7889722371043383,0.8373531967303385,0.8273889946321608,0.005921025684481158,0.11121830072971192,0.17218330914802904,0.8028585869382066,0.8511584999100748,0.8363135080831938,0.006264513056575534,0.12173508682164738,0.1674825394821151,0.8124681736628894,0.8583686135223441,0.06498199588477366,0.016313932980599646,0.1861220711793978,0.005660222213406815,0.05084812242798354,0.08082690329218108,0.07025807606947958,-0.0006508111771269652,-0.008831654883127921,0.4426742043522012,0.054105486138563634,0.08702235727911897,0.08651214764824891,0.006560572597986897,0.06915105202779753,0.26855298869574484,0.0673601510157976,0.10659288908192954,0.09646511974614036,0.008387126801875335,0.08892270169531251,0.19183285398116212,0.07592885849742732,0.11789704112508884,0.5658022208097674
learned_meta_conflictonly,216,0.5638597913013023,0.030900440624792296,0.8225730123473318,2.0831215826868566e-25,0.543382708804932,0.5836874964029627,0.7863708601057195,0.012724056582010932,0.17742302794338666,0.01568203927738875,0.7614333101023968,0.8094821308799957,0.8153738910779096,0.00829134039001647,0.13995042690534737,0.269910319997827,0.792316342412121,0.8400861703267298,0.8281305359887943,0.006662567041114655,0.1305109063708222,0.058817123301267135,0.8036308635665264,0.8515804016916062,0.8358685058252204,0.005819510798602093,0.11112624929776227,0.04090912724813454,0.8133771394478039,0.858224059689202,0.06755401234567902,0.018885949441504995,0.18285621581242642,0.0044453068415166485,0.05231385030864198,0.08518518518518518,0.07371639352633505,0.002807506279728502,0.04192299675031406,0.28440623280044186,0.056769147809900736,0.09259485860819923,0.08585827037462401,0.005906695324362007,0.07384012859357146,0.3661765797628068,0.06641601498933604,0.10686645465193835,0.10238492460641423,0.014306931662149198,0.1424021323346498,0.05515198968888394,0.08018581150566381,0.12414818831315452,0.5638769834422638
conflict_cot|Qwen3-8B|s0,216,0.5365954534949073,0.0036361028183973768,0.22252097081359395,0.0009324115217892316,0.5161309997922812,0.556388780106806,0.7746390511487777,0.0009922476250692608,0.025574926245139393,0.8867361657219796,0.7487918183977728,0.7986223804796031,0.8051988478820765,-0.0018837028058167286,-0.028009233052647662,0.7043224179898399,0.7807515759579421,0.8287598153319529,0.8203014704263012,-0.0011664985213785302,-0.039274665701659245,0.6362273792047328,0.7967322506951675,0.8436073343560992,0.830763435213648,0.0007144401870297981,0.02433613494809022,0.7955707979031321,0.8071346300587039,0.8526142662347214,0.05422361845972957,0.005555555555555557,0.14109361221333666,0.015322275849907956,0.04032903439153439,0.06839161706349206,0.0707251717851133,-0.00018371546149323914,-0.0042049367439965886,0.32300393820952555,0.05583001381064247,0.08842637554534484,0.07714353142096232,-0.002808043629299668,-0.07320204467086369,0.5188968696538607,0.06028843716016644,0.0968107443812145,0.08694126295448842,-0.0011367299897765846,-0.050347308742648374,0.7455640018040257,0.06846236311910835,0.10631309729190613,0.5357990818041836
direct_only|Qwen3-8B|s0,216,0.5361426878430269,0.003183337166516972,0.46603329368502117,6.736757556450023e-15,0.5147108228266161,0.5559155764204423,0.7759430385063752,0.002296234982666737,0.08607088867466067,0.39622463633690064,0.74982005212813,0.801632158307337,0.8101987353568434,0.0031161846689503453,0.09781777330081845,0.20723895656080749,0.786240269548594,0.8327195247872015,0.8223863845267806,0.0009184155791008939,0.022421235585845873,0.47284198191004256,0.7970432556913017,0.8460754036410786,0.8327207644064585,0.0026717693798403333,0.0745921530983545,0.5614396639119171,0.809933615805881,0.8550178963588635,0.05381209582598471,0.0051440329218107,0.15843976396104106,0.01747777722843613,0.04115616732804233,0.06702068636096413,0.0698286403330263,-0.001080246913580247,-0.027606882873676793,0.6343658010299809,0.05508299587703828,0.08741778956234367,0.07986690771413268,-8.466733612932443e-05,-0.00421990410497722,0.6054692885272901,0.06331754111741983,0.09926304310284646,0.09356307820365582,0.005485085259390815,0.12605407510770672,0.05062265254326096,0.07334123192283466,0.11559912152944772,0.5356374541687846
conflict_direct|Qwen3-14B|s0,216,0.5354405514726964,0.002481200796186483,0.21923425605835783,0.007422369155919697,0.5149627533534601,0.5552843374849807,0.7765583599193954,0.002911556395686915,0.08810945267254905,0.3263277009860476,0.7506747949423211,0.8012531747557569,0.8051660641377872,-0.0019164865501059528,-0.03098209338274831,0.6252488891147634,0.7803208343538871,0.8289614333606661,0.8224347096069806,0.0009667406593009645,0.04062030435892824,0.44762363615246936,0.7997212762545912,0.8459697690405898,0.8294581639967502,-0.0005908310298680673,-0.020438936393345264,0.3539129468750295,0.8074612525849592,0.8525672077746663,0.05098287771898883,0.002314814814814815,0.08260274448896812,0.03073597836694124,0.03857808825690771,0.06404431216931215,0.06813139210800029,-0.0027774951386062502,-0.05002746060910057,0.5876268031793576,0.05250039160401003,0.08558495151696906,0.07734929273783475,-0.0026022823124272395,-0.06851047568857103,0.46619041669502415,0.06146595276265576,0.0956515292536746,0.08335642315437085,-0.004721569789894163,-0.12266378519211135,0.04015007488511991,0.06594158496034687,0.1022393762652038,0.534758310903374
conflict_cot|Qwen3-14B|s1,216,0.535222062348899,0.0022627116723890925,0.14772117749297164,0.043902073040729184,0.5149069814304522,0.5552884962577668,0.7782786327553689,0.004631829231660478,0.11704458300538528,0.1243285577487597,0.7518049515267445,0.8032903518147512,0.8057148399276128,-0.0013677107602803325,-0.020872621153520683,0.7600460022796247,0.7813230415783016,0.829094174002887,0.823318346968138,0.0018503780204583364,0.06728931127140816,0.40060209941233316,0.7988536699470093,0.8460403573188778,0.8304558123670837,0.0004068173404654099,0.01402710388528617,0.8381679283965866,0.8068917219568938,0.8524028968573443,0.05329769253380365,0.004629629629629629,0.13433223038902561,0.014814600274538283,0.040653338109935336,0.06646122685185185,0.06979924585918738,-0.0011096413874191653,-0.024953615628142807,0.48265488295424996,0.053911005032167315,0.08765365009151557,0.08011604758792294,0.0001644725376609436,0.008264640674830001,0.9567443747575718,0.0636646162622637,0.09917157858715393,0.08548819082194514,-0.0025898021223198712,-0.06420742378761944,0.8217426756150905,0.06764606066836797,0.10568631178855165,0.5343963230623274
conflict_cot|Qwen3-14B|s0,216,0.5351343147286561,0.0021749640521462063,0.14286454733272638,0.11335053373208119,0.5143930615766793,0.5556303316376405,0.7763201793898352,0.002673375866126579,0.06991734345770263,0.5406974716117895,0.7501805177329153,0.801003458876745,0.8030015428838408,-0.004081007804052387,-0.06547830276068879,0.5335234365917243,0.7778500401874221,0.8273259825592532,0.8204193755205899,-0.0010485934270897488,-0.02992646803192073,0.8233176179850374,0.7969962775141973,0.8438101340610002,0.8310599411739061,0.0010109461472879828,0.03450652796287795,0.6782349804723524,0.8076368415015135,0.852772166522038,0.052834729570840684,0.004166666666666667,0.12311752280599143,0.01717076347753033,0.040016764035861255,0.06647450029394474,0.06737197040559613,-0.0035369168410104086,-0.06329286643008661,0.9811321432921072,0.05196654831523252,0.08486216022308857,0.08027671510970158,0.00032514005943957633,0.016707299688580122,0.9213472152683697,0.06248764433816241,0.10043484973558502,0.08789884861761112,-0.00017914432665390516,-0.00339714175365962,0.8330028056273778,0.06796206733441204,0.10830304179730461,0.5344256361372218
best_single,216,0.5344580347463308,0.0014986840698209217,0.01471897508025166,0.8593100064364569,0.5138952130942147,0.5563557647667621,0.7764442953831535,0.002797491859444985,0.022348283083600328,0.3149347232368894,0.7468991554619078,0.8049035148876206,0.8089941985996811,0.0019116479117879772,0.014700659453838649,0.23490076869578147,0.7804325846414434,0.8362813771084368,0.8301734899412109,0.008705520993531108,0.06950601528049202,0.09144033934691832,0.805000308983144,0.8537620661726384,0.8380130126495847,0.007964017622966474,0.06490703153268552,0.19962029495812905,0.8126026438183526,0.8627825336423838,0.08285751028806586,0.034189447383891826,0.2167266359710265,0.0020465497582267474,0.06350244341563786,0.10363361625514399,0.09173338836436533,0.02082450111775877,0.15297415145727913,0.027072139910387996,0.072241426774343,0.1133546223990625,0.09768428613758007,0.017732711087318078,0.1258075515299208,0.07022202336286378,0.07674420249635605,0.12030152825463926,0.11284113521950774,0.024763142275242723,0.16416246080898533,0.009421471802797506,0.08866614610326712,0.13752813480838574,0.5354195366439642
