run,family,mean_llm_weight_rank,mean_true_acc_rank,mean_centrality_rank,misrank,p
Qwen3-14B|conflict_cot|s0,MSA_Potts,4.768518518518518,6.726851851851852,7.319444444444445,-1.958333333333334,4.87279509405238e-16
Qwen3-14B|conflict_cot|s0,Evo_Conservation,5.405092592592593,4.361111111111111,5.263888888888889,1.0439814814814818,5.552997842992057e-08
Qwen3-14B|conflict_cot|s0,MSA_Conditioned,2.150462962962963,4.574074074074074,1.6481481481481481,-2.4236111111111116,1.5179964272123097e-26
Qwen3-14B|conflict_cot|s0,ESM_Masked,4.231481481481482,5.347222222222222,3.4814814814814814,-1.1157407407407405,2.6153439845690195e-09
Qwen3-14B|conflict_cot|s0,AR_PLM,7.189814814814815,7.537037037037037,7.356481481481482,-0.3472222222222223,0.010881196869775876
Qwen3-14B|conflict_cot|s0,xTrimoPGLM,6.4907407407407405,7.416666666666667,7.171296296296297,-0.9259259259259265,4.1718544475356106e-09
Qwen3-14B|conflict_cot|s0,Inverse_Folding,8.944444444444445,6.537037037037037,9.50462962962963,2.4074074074074074,2.6233044251739563e-19
Qwen3-14B|conflict_cot|s0,Struct_PLM,4.217592592592593,3.111111111111111,4.6157407407407405,1.1064814814814814,2.367314464310587e-07
Qwen3-14B|conflict_cot|s0,Struct_MSA_Hybrid,3.412037037037037,2.4814814814814814,3.3194444444444446,0.9305555555555558,1.682528253019686e-08
Qwen3-14B|conflict_cot|s0,CNN_RNN,8.189814814814815,6.907407407407407,5.319444444444445,1.2824074074074074,8.196081209474152e-13
Qwen3-14B|conflict_cot|s1,MSA_Potts,4.8217592592592595,6.726851851851852,7.319444444444445,-1.9050925925925926,3.4832738352805187e-16
Qwen3-14B|conflict_cot|s1,Evo_Conservation,5.534722222222222,4.361111111111111,5.263888888888889,1.1736111111111116,2.687611756853266e-09
Qwen3-14B|conflict_cot|s1,MSA_Conditioned,2.0925925925925926,4.574074074074074,1.6481481481481481,-2.481481481481482,4.541277455121179e-28
Qwen3-14B|conflict_cot|s1,ESM_Masked,4.06712962962963,5.347222222222222,3.4814814814814814,-1.2800925925925926,2.5075675705046835e-12
Qwen3-14B|conflict_cot|s1,AR_PLM,7.270833333333333,7.537037037037037,7.356481481481482,-0.26620370370370416,0.06190361985096784
Qwen3-14B|conflict_cot|s1,xTrimoPGLM,6.439814814814815,7.416666666666667,7.171296296296297,-0.9768518518518521,2.3399864333544568e-09
Qwen3-14B|conflict_cot|s1,Inverse_Folding,8.925925925925926,6.537037037037037,9.50462962962963,2.3888888888888884,1.4612960136323e-20
Qwen3-14B|conflict_cot|s1,Struct_PLM,4.372685185185185,3.111111111111111,4.6157407407407405,1.261574074074074,8.826346544739389e-10
Qwen3-14B|conflict_cot|s1,Struct_MSA_Hybrid,3.2222222222222223,2.4814814814814814,3.3194444444444446,0.7407407407407409,5.89407577997202e-06
Qwen3-14B|conflict_cot|s1,CNN_RNN,8.252314814814815,6.907407407407407,5.319444444444445,1.3449074074074074,3.2810213985779585e-13
Qwen3-14B|conflict_cot|s2,MSA_Potts,4.859375,6.270833333333333,7.177083333333333,-1.411458333333333,2.1183776705393222e-05
Qwen3-14B|conflict_cot|s2,Evo_Conservation,5.359375,4.177083333333333,5.197916666666667,1.182291666666667,4.463812128131634e-05
Qwen3-14B|conflict_cot|s2,MSA_Conditioned,2.0625,4.239583333333333,1.625,-2.177083333333333,1.4436990129214047e-11
Qwen3-14B|conflict_cot|s2,ESM_Masked,3.9270833333333335,5.4375,3.5104166666666665,-1.5104166666666665,9.713445903960212e-08
Qwen3-14B|conflict_cot|s2,AR_PLM,7.078125,7.604166666666667,7.322916666666667,-0.526041666666667,0.006117342796340001
Qwen3-14B|conflict_cot|s2,xTrimoPGLM,6.3125,7.333333333333333,7.020833333333333,-1.020833333333333,3.83860199982989e-05
Qwen3-14B|conflict_cot|s2,Inverse_Folding,9.036458333333334,7.177083333333333,9.552083333333334,1.8593750000000009,1.621571348730702e-06
Qwen3-14B|conflict_cot|s2,Struct_PLM,4.557291666666667,3.4583333333333335,4.770833333333333,1.0989583333333335,0.00040846764720899167
Qwen3-14B|conflict_cot|s2,Struct_MSA_Hybrid,3.4114583333333335,2.6354166666666665,3.375,0.776041666666667,0.000578008530163908
Qwen3-14B|conflict_cot|s2,CNN_RNN,8.395833333333334,6.666666666666667,5.447916666666667,1.729166666666667,1.3947232948120063e-09
Qwen3-14B|conflict_direct|s0,MSA_Potts,5.56712962962963,6.726851851851852,7.319444444444445,-1.1597222222222223,6.774756904010326e-11
Qwen3-14B|conflict_direct|s0,Evo_Conservation,5.18287037037037,4.361111111111111,5.263888888888889,0.8217592592592595,9.115167749841832e-06
Qwen3-14B|conflict_direct|s0,MSA_Conditioned,2.011574074074074,4.574074074074074,1.6481481481481481,-2.5625000000000004,1.1086980865478459e-31
Qwen3-14B|conflict_direct|s0,ESM_Masked,3.634259259259259,5.347222222222222,3.4814814814814814,-1.7129629629629632,3.0897285560075997e-21
Qwen3-14B|conflict_direct|s0,AR_PLM,7.377314814814815,7.537037037037037,7.356481481481482,-0.15972222222222232,0.07283711625316841
Qwen3-14B|conflict_direct|s0,xTrimoPGLM,6.49537037037037,7.416666666666667,7.171296296296297,-0.9212962962962967,4.279780396745094e-10
Qwen3-14B|conflict_direct|s0,Inverse_Folding,9.305555555555555,6.537037037037037,9.50462962962963,2.768518518518518,1.0465127636013755e-23
Qwen3-14B|conflict_direct|s0,Struct_PLM,4.020833333333333,3.111111111111111,4.6157407407407405,0.9097222222222219,2.535831661033757e-07
Qwen3-14B|conflict_direct|s0,Struct_MSA_Hybrid,3.3055555555555554,2.4814814814814814,3.3194444444444446,0.824074074074074,4.6855140610322136e-07
Qwen3-14B|conflict_direct|s0,CNN_RNN,8.099537037037036,6.907407407407407,5.319444444444445,1.1921296296296289,4.067365707972396e-11
