run,mean_prompt_chars,mean_output_chars,mean_weight_sd
Qwen3-14B|direct_only|s0,2177.972222222222,153.0,1.9396964289016938
Qwen3-8B|direct_only|s0,2177.972222222222,153.7037037037037,1.9841860157466615
Qwen3-14B|cot_only_shuf|s0,2544.5263157894738,153.10526315789474,2.027816789061399
Qwen3-14B|cot_only|s0,2546.972222222222,1186.1342592592594,2.5465252529090843
Qwen3-8B|cot_only|s0,2546.972222222222,713.0787037037037,2.4652477409834836
Qwen3-14B|conflict_direct|s0,3732.462962962963,153.41203703703704,1.697659045091056
Qwen3-14B|conflict_cot|s0,4303.462962962963,1270.412037037037,2.154984389964423
Qwen3-14B|conflict_cot|s1,4303.462962962963,1322.7083333333333,2.218641487544235
Qwen3-8B|conflict_cot|s0,4303.462962962963,761.3703703703703,2.2837106514404493
Qwen3-14B|conflict_cot|s2,4306.666666666667,1332.4166666666667,2.183664767693765
