run,spearman_weight_vs_position,p,mean_w_pos1,mean_w_pos10
Qwen3-14B|conflict_cot|s0,-0.2375445185878495,4.349024318022686e-29,6.916666666666667,4.263888888888889
Qwen3-14B|conflict_cot|s1,-0.24145369674563605,5.0183434431889464e-30,6.949074074074074,4.092592592592593
Qwen3-14B|conflict_cot|s2,-0.2721753027100384,9.112535331437259e-18,6.864583333333333,3.9791666666666665
Qwen3-14B|conflict_direct|s0,-0.21694911288769098,2.0084491185217127e-24,7.013888888888889,5.37962962962963
Qwen3-14B|cot_only_shuf|s0,-0.216898512000981,0.002648161590779932,7.368421052631579,5.631578947368421
Qwen3-14B|cot_only|s0,-0.3070263220954094,2.2383846794088655e-48,7.560185185185185,1.3611111111111112
Qwen3-14B|direct_only|s0,-0.42894752909265055,2.077595458034702e-97,7.888888888888889,1.8425925925925926
Qwen3-8B|conflict_cot|s0,-0.31212542998592113,5.088414438691218e-50,8.23611111111111,5.083333333333333
Qwen3-8B|cot_only|s0,-0.4742586821015256,1.4530502799163228e-121,7.268518518518518,1.6851851851851851
Qwen3-8B|direct_only|s0,-0.45249156652984024,1.6701630957391651e-109,8.662037037037036,2.611111111111111
