DMS_id,n,rho_ens,rho_best_single,AU,EU,TU,raw_sd,rho_MSA_Potts,rho_Evo_Conservation,rho_MSA_Conditioned,rho_ESM_Masked,rho_AR_PLM,rho_xTrimoPGLM,rho_Inverse_Folding,rho_Struct_PLM,rho_Struct_MSA_Hybrid,rho_CNN_RNN,taxon,coarse_selection_type,selection_assay,seq_len,MSA_Neff_L,MSA_num_seqs,MSA_perc_cov,MSA_len,DMS_number_single_mutants,DMS_number_multiple_mutants,includes_multiple_mutants,region_mutated,UniProt_ID,DMS_binarization_method,MSA_Neff_L_category,source_organism
A0A140D2T1_ZIKV_Sourisseau_2019,9576,0.41440095377523506,0.3868750229677319,0.14955037035283214,0.15060516983803054,0.3001555401908627,0.20866303523718494,0.33429058053324767,0.4529836980386983,0.44249465070222904,0.06968815935505664,0.3497607809989923,0.3879136253342384,0.2908792819091989,0.30250484535867483,0.4663695514981269,0.19230057034005194,Virus,OrganismalFitness,Viral replication,3423,1.63,16501,0.948,524,9576,0,False,291-794,A0A140D2T1_ZIKV,median,Medium,Zika virus (ZIKV)
A0A192B1T2_9HIV1_Haddox_2018,12577,0.5657891115110755,0.5616360230931883,0.1299062549455777,0.13113209085289923,0.2610383457984769,0.1840534153047868,0.47377308580364424,0.5459728764402821,0.533371183747621,0.43694741903611883,0.5101051882776533,0.4896662999460612,0.3628170296875023,0.3370415951566869,0.619182338914426,0.5306779577060852,Virus,OrganismalFitness,Viral replication,852,42.81,74854,0.986,852,12577,0,False,30-691,A0A192B1T2_9HIV1,manual,Medium,Human immunodeficiency virus 1
A0A1I9GEU1_NEIME_Kennouche_2019,922,0.06828207902908434,0.07046081462268838,0.11644321074431223,0.11413759479405548,0.23058080553836768,0.16565689966083422,0.06846897781843599,0.04484855949413536,0.07120006930757818,0.05649673182880848,0.08442588711458872,0.06456844231208123,0.05498322793832746,0.062434024421390115,0.04381160839972663,0.06905118911881016,Prokaryote,Activity,"piliation (20D9 anti-pilus monoclonal Ab), aggregation, adhesion (human umbilical vein endothelial cells (HUVECs))",161,14.07,5553,0.857,161,922,0,False,1-161,A0A1I9GEU1_NEIME,median,Medium,Neisseria meningitidis
A0A247D711_LISMN_Stadelmann_2021,1653,0.3966225708736706,0.5562673208489664,0.13260982075492353,0.16297093465168017,0.29558075540660367,0.21152750371840068,0.41877936425121814,0.5298762299198349,0.3870123790825986,0.09150829888306627,0.051167802258586206,0.013959165471656237,0.46771333230108797,0.45976347695535064,0.5667305304067402,0.06648451208859088,Prokaryote,Activity,activity against SpyCas9 inducing an RFP reporter,87,0.1,57,1.0,87,1653,0,False,1-87,A0A247D711_LISMN,median,Low,Listeria monocytogenes
A0A2Z5U3Z0_9INFA_Doud_2016,10715,0.6272624395617649,0.5572903280092083,0.13812167188296892,0.1328261862822073,0.2709478581651762,0.1901501434572907,0.5257636822470763,0.584015953624463,0.5634934440620035,0.4728825078010234,0.5403957271151519,0.5037485763008136,0.4703616596798642,0.5158257006277812,0.654904230706724,0.5073331550223067,Virus,OrganismalFitness,viral replication,565,16.01,57581,0.968,565,10715,0,False,2-565,A0A2Z5U3Z0_9INFA,median,Medium,Influenza A virus (A/WSN/1933(H1N1))
A0A2Z5U3Z0_9INFA_Wu_2014,2350,0.5674233155305959,0.43818527963359577,0.13550087558256513,0.1287433086294466,0.26424418421201173,0.1864848237748124,0.5122744407308151,0.5378975727531687,0.5619079743528365,0.45337464231259966,0.4985311816918284,0.4703108748379838,0.37535282188359054,0.4426195182997513,0.5391440456897968,0.4620246492805997,Virus,OrganismalFitness,Viral replication,565,16.01,57581,0.968,565,2350,0,False,6-560,A0A2Z5U3Z0_9INFA,median,Medium,Influenza A virus (A/WSN/1933(H1N1))
A4D664_9INFA_Soh_2019,14421,0.4486063492092993,0.31777699845077373,0.17101446771699985,0.1634552069240327,0.33446967464103255,0.2315377548629999,0.3979097863752549,0.4785133194195695,0.4354697938697397,0.08595758296344104,0.3695245191674207,0.1944284346387281,0.22403937916098526,0.27733670921124404,0.45990661239596786,0.31609422454420133,Virus,OrganismalFitness,Viral replication (avian cells: CCL141 (duck)),759,1.7,26683,1.0,759,14421,0,False,1-759,A4D664_9INFA,median,Medium,Influenza A virus (A/green-winged teal/Ohio/175/1986(H2N1))
A4GRB6_PSEAI_Chen_2020,5004,0.7706059083004113,0.6602408152096942,0.10818434447522271,0.10268007787787312,0.21086442235309583,0.14904835927540422,0.6456582043439814,0.7583583789226164,0.723360476968674,0.7224021296183242,0.6470448152708744,0.6776677089492084,0.6822969840065133,0.7666625307677318,0.7844841615707078,0.668011256074172,Prokaryote,OrganismalFitness,"drug resistance (128/16/2.0 ug/mL ampicillin, 4.0/0.5 ug/mL cefotaxime, 0.031 ug/mL meropenem @ 25C, 37C)",266,120.61,108496,0.726,266,5004,0,False,1-266,A4GRB6_PSEAI,manual,High,Pseudomonas aeruginosa
A4_HUMAN_Seuma_2022,14811,0.45476376165193233,0.42292415707283304,0.14224866081726142,0.1323640679439269,0.2746127287611883,0.19153853499431653,0.3977482542533447,0.46715891465367726,0.4364045253093476,0.4759720292179573,0.3405091895550506,0.33557225511620603,0.12239696297131328,0.44011226657212577,0.44744797568693834,0.3456203033892889,Human,Stability,aggregation,770,0.08,5272,0.987,770,796,14015,True,672-713,A4_HUMAN,manual,Low,Homo sapiens
AACC1_PSEAI_Dandage_2018,1801,0.508601608561597,0.3598862710792511,0.11235083240192163,0.1046854753803482,0.21703630778226982,0.15249291584243652,0.48965960205890163,0.5160297755558446,0.5195555085748996,0.5043995703336301,0.4197888933350867,0.46985827036272304,0.33977015441789765,0.4827983252683337,0.51475726462948,0.35855211902174866,Prokaryote,OrganismalFitness,"Antibiotic resistance under: heat/cold resistance (32C, 37C (ref), 42C), chemical stability (chemical chaperones TMAO, glycerol), antibiotic resistance (gentamicin), or combo",177,985.3,539868,0.746,177,1801,0,False,12-172,AACC1_PSEAI,median,High,Pseudomonas aeruginosa
ACE2_HUMAN_Chan_2020,2223,0.27179864877011606,0.2526544938884999,0.12075162147050651,0.11370131278820107,0.23445293425870764,0.16479655010234856,0.23127920606958974,0.2175558841418119,0.25199905755175195,0.2626572827122241,0.2077763341802604,0.19881477476122678,0.3123944057738238,0.2824771111784084,0.26248760320429826,0.21693238987552885,Human,Binding,Binding affinity,805,1.97,11106,0.743,805,2223,0,False,19-518,ACE2_HUMAN,median,Medium,Homo sapiens
ADRB2_HUMAN_Jones_2020,7800,0.564182440139859,0.5259954027375717,0.09631841786638341,0.08910349197052408,0.18542190983690748,0.1318334196714206,0.5125772513178556,0.5482467675749403,0.5476954762290784,0.5441814266042504,0.5347655501383285,0.5351434987203336,0.4716992470524194,0.5581564745460864,0.5567562370513327,0.5437353483424008,Human,Activity,"transcription (luciferase reporter, isoproterenol (beta2AR agonist)-induced)",413,67.99,204722,0.712,413,7800,0,False,2-413,ADRB2_HUMAN,median,Medium,Homo sapiens
AICDA_HUMAN_Gajula_2014_3cycles,209,0.48181668286138196,0.39914074310191616,0.12997358246428511,0.12849126112302517,0.2584648435873103,0.1795691409931998,0.4487545127103726,0.44678149647047793,0.4509588802172213,0.39387726483860375,0.4041187555030795,0.33559231156618613,0.39047973656772733,0.40268780480559035,0.4885961005317675,0.44795149478627,Human,Activity,Enzymatic activity,198,18.4,18148,0.879,198,209,0,False,113-123,AICDA_HUMAN,manual,Medium,Homo sapiens
AMFR_HUMAN_Tsuboyama_2023_4G3O,2972,0.28193840159703043,0.49592624189874246,0.10851107198752037,0.10551867902955063,0.21402975101707097,0.1535635734011411,0.41174217058497387,0.35732565964430574,0.2932284238519383,0.3314324618214811,-0.12990942709538544,0.1342284573608622,0.3242333358447095,0.3927677695312339,0.4028188201493975,0.1103721250421885,Human,Stability,Stability,47,26.51,17787,0.872,47,820,2152,True,1-47,AMFR_HUMAN,median,Medium,Homo sapiens
AMIE_PSEAE_Wrenbeck_2017,6227,0.6754514251676692,0.5053121692927985,0.12556122802840988,0.12615630990133483,0.2517175379297448,0.17574041016332198,0.49294748087907553,0.6341723950686563,0.615292310603649,0.6318710892642605,0.551550772946969,0.6541642784713673,0.4346803017132784,0.6193744605385664,0.645255738292694,0.5633614524798084,Prokaryote,Activity,Enzyme function,346,89.1,140703,0.725,346,6227,0,False,1-341,AMIE_PSEAE,median,Medium,Pseudomonas aeruginosa
